open,high,low,close,volume,time
46.304,49.260,45.934,48.516,20566062.9118,2022-07-16 00:00:00
48.516,50.000,47.256,47.492,21870820.2433,2022-07-17 00:00:00
47.492,51.021,47.474,50.543,31536056.6267,2022-07-18 00:00:00
50.543,52.059,48.610,51.580,29332380.5867,2022-07-19 00:00:00
51.555,52.797,49.434,50.305,31813280.3636,2022-07-20 00:00:00
50.331,50.818,48.150,50.345,18050096.0748,2022-07-21 00:00:00
50.341,50.900,48.264,48.775,16188515.6682,2022-07-22 00:00:00
48.788,49.484,47.710,48.989,11231615.5032,2022-07-23 00:00:00
48.977,49.826,48.473,48.911,12191239.0678,2022-07-24 00:00:00
48.893,49.138,45.800,45.918,18789222.8855,2022-07-25 00:00:00
45.953,46.389,44.524,46.279,19741473.3352,2022-07-26 00:00:00
46.261,48.950,45.285,48.847,25138643.8855,2022-07-27 00:00:00
48.851,50.850,47.164,50.166,32575904.1366,2022-07-28 00:00:00
50.165,50.460,48.021,48.969,28741311.0575,2022-07-29 00:00:00
48.990,54.396,48.485,51.668,40802807.9996,2022-07-30 00:00:00
51.686,53.100,50.451,50.614,14449429.9387,2022-07-31 00:00:00
50.613,51.133,49.091,49.958,19328171.9438,2022-08-01 00:00:00
49.975,51.697,48.120,49.537,26147524.9989,2022-08-02 00:00:00
49.548,50.610,48.501,49.539,16466863.7714,2022-08-03 00:00:00
49.541,50.268,48.550,49.261,11524912.6365,2022-08-04 00:00:00
49.287,50.857,49.287,50.758,12239442.4601,2022-08-05 00:00:00
50.770,50.980,50.000,50.085,7153956.9798,2022-08-06 00:00:00
50.099,50.950,49.705,50.292,6910209.1824,2022-08-07 00:00:00
50.294,51.877,50.241,51.065,16765631.5636,2022-08-08 00:00:00
51.067,51.260,48.804,49.727,14842238.5439,2022-08-09 00:00:00
49.732,51.000,48.550,50.806,27302522.3700,2022-08-10 00:00:00
50.820,51.406,50.136,50.685,13482516.8572,2022-08-11 00:00:00
50.668,50.728,49.635,50.699,10333603.6624,2022-08-12 00:00:00
50.680,51.654,50.400,50.542,11498724.4054,2022-08-13 00:00:00
50.549,52.263,50.000,50.161,13301151.9109,2022-08-14 00:00:00
50.187,51.362,49.000,49.970,17594811.9942,2022-08-15 00:00:00
50.002,50.780,49.012,50.685,11846258.8921,2022-08-16 00:00:00
50.686,52.497,49.900,51.278,25863396.2108,2022-08-17 00:00:00
51.293,51.564,50.208,50.387,11510933.7144,2022-08-18 00:00:00
50.388,50.450,45.501,45.850,35087579.2143,2022-08-19 00:00:00
45.850,46.960,45.600,46.243,13576205.8889,2022-08-20 00:00:00
46.241,47.746,46.067,47.317,11163336.9919,2022-08-21 00:00:00
47.336,47.484,45.501,47.351,11990847.9865,2022-08-22 00:00:00
47.336,47.555,45.760,47.433,11594282.6361,2022-08-23 00:00:00
47.450,48.340,46.416,47.376,11159621.8762,2022-08-24 00:00:00
47.392,48.091,47.070,47.700,10160211.7095,2022-08-25 00:00:00
47.695,50.800,45.863,46.749,32179860.8186,2022-08-26 00:00:00
46.749,47.500,45.500,46.175,12498568.6685,2022-08-27 00:00:00
46.183,46.458,44.540,44.612,10715247.4579,2022-08-28 00:00:00
44.650,46.299,44.256,46.293,19719053.4883,2022-08-29 00:00:00
46.299,46.520,44.500,45.350,11476775.3019,2022-08-30 00:00:00
45.370,46.312,44.851,45.699,9630161.2087,2022-08-31 00:00:00
45.700,46.674,45.099,46.617,8680825.9660,2022-09-01 00:00:00
46.621,46.998,45.715,46.550,11348515.2239,2022-09-02 00:00:00
46.550,46.899,45.911,46.302,6171760.5710,2022-09-03 00:00:00
46.303,46.700,46.030,46.637,5221238.1505,2022-09-04 00:00:00
46.650,46.860,45.500,46.799,10169498.6969,2022-09-05 00:00:00
46.783,48.108,45.620,46.035,18947573.3099,2022-09-06 00:00:00
46.038,48.719,45.014,48.469,22670263.4471,2022-09-07 00:00:00
48.472,49.374,47.284,48.790,15564941.1566,2022-09-08 00:00:00
48.790,51.146,48.790,50.807,22700763.1782,2022-09-09 00:00:00
50.789,51.500,50.126,50.892,15079816.7421,2022-09-10 00:00:00
50.900,51.300,49.720,50.649,9182097.3174,2022-09-11 00:00:00
50.662,51.296,49.777,51.296,15122603.8046,2022-09-12 00:00:00
51.284,51.332,48.021,48.150,22053574.3528,2022-09-13 00:00:00
48.135,49.317,47.770,48.864,11551606.2558,2022-09-14 00:00:00
48.881,49.285,46.551,46.835,15782965.0934,2022-09-15 00:00:00
46.821,51.100,46.240,50.725,20989496.3638,2022-09-16 00:00:00
50.726,54.373,49.577,53.800,32705800.2079,2022-09-17 00:00:00
53.816,56.845,50.860,51.161,53226726.2782,2022-09-18 00:00:00
51.155,56.179,48.860,55.051,61489686.2580,2022-09-19 00:00:00
55.053,60.664,53.002,59.374,75118787.1662,2022-09-20 00:00:00
59.390,62.100,55.252,56.888,75145428.2788,2022-09-21 00:00:00
56.905,70.666,56.875,69.083,93623780.4897,2022-09-22 00:00:00
69.098,79.400,65.426,72.536,139095599.5675,2022-09-23 00:00:00
72.598,74.337,67.410,69.825,61947447.2592,2022-09-24 00:00:00
69.831,74.500,68.200,70.602,59283710.7854,2022-09-25 00:00:00
70.581,72.017,66.053,67.601,38943353.9864,2022-09-26 00:00:00
67.601,70.333,63.315,64.684,42630668.6412,2022-09-27 00:00:00
64.693,65.666,60.500,64.765,36918336.1420,2022-09-28 00:00:00
64.776,73.301,61.685,70.250,42164089.7751,2022-09-29 00:00:00
70.260,72.197,67.770,69.527,35349198.2534,2022-09-30 00:00:00
69.530,70.444,67.800,68.979,15232532.2751,2022-10-01 00:00:00
68.963,69.346,64.549,65.111,22892131.9136,2022-10-02 00:00:00
65.135,67.876,63.542,66.845,23097617.8720,2022-10-03 00:00:00
66.845,69.861,65.500,68.889,33374036.2997,2022-10-04 00:00:00
68.884,72.200,67.953,70.553,33013052.5106,2022-10-05 00:00:00
70.490,73.050,70.430,71.646,19979758.3386,2022-10-06 00:00:00
71.612,76.550,69.300,75.267,27017955.8033,2022-10-07 00:00:00
75.258,76.869,74.400,75.258,16516988.0616,2022-10-08 00:00:00
75.255,78.824,73.556,77.471,17700094.6549,2022-10-09 00:00:00
77.471,78.253,72.042,72.045,27272657.7992,2022-10-10 00:00:00
72.085,73.153,69.882,70.959,23180463.9184,2022-10-11 00:00:00
70.994,72.770,70.684,71.666,13473687.6771,2022-10-12 00:00:00
71.649,72.235,64.930,70.697,40311390.8818,2022-10-13 00:00:00
70.679,75.661,70.565,72.617,23970068.4658,2022-10-14 00:00:00
72.617,72.836,71.069,71.575,8798336.2314,2022-10-15 00:00:00
71.611,72.508,69.750,70.895,10109847.3796,2022-10-16 00:00:00
70.887,71.707,68.822,71.469,15715774.3556,2022-10-17 00:00:00
71.499,71.987,68.464,69.605,12391226.2514,2022-10-18 00:00:00
69.605,69.693,67.199,67.610,14450888.8743,2022-10-19 00:00:00
67.611,69.577,65.000,67.166,20686439.2473,2022-10-20 00:00:00
67.164,68.259,65.678,68.230,21753045.0403,2022-10-21 00:00:00
68.260,69.431,67.368,68.771,8912430.8506,2022-10-22 00:00:00
68.753,70.247,66.850,69.057,13357962.7940,2022-10-23 00:00:00
69.058,70.124,66.953,67.542,13679047.3880,2022-10-24 00:00:00
67.531,69.650,66.280,68.100,18041728.7492,2022-10-25 00:00:00
68.070,69.100,67.645,68.545,13695043.2475,2022-10-26 00:00:00
68.529,70.200,67.133,67.505,17611015.2001,2022-10-27 00:00:00
67.554,69.867,67.194,69.760,13326242.8131,2022-10-28 00:00:00
69.799,71.112,68.833,69.425,12895976.6334,2022-10-29 00:00:00
69.438,69.863,67.200,67.741,10910851.9917,2022-10-30 00:00:00
67.750,69.500,66.550,69.088,16154899.0921,2022-10-31 00:00:00
69.088,69.200,67.257,68.628,10102393.2704,2022-11-01 00:00:00
68.632,68.787,66.410,66.816,15036301.4374,2022-11-02 00:00:00
66.801,68.300,66.684,67.573,7711020.9098,2022-11-03 00:00:00
67.573,74.900,67.279,74.162,37444075.9236,2022-11-04 00:00:00
74.175,74.716,71.865,72.346,11819731.3437,2022-11-05 00:00:00
72.370,72.526,69.147,69.425,10833383.4942,2022-11-06 00:00:00
69.408,70.333,67.520,68.400,17029193.4096,2022-11-07 00:00:00
68.401,68.671,51.403,59.226,51603027.7940,2022-11-08 00:00:00
59.224,59.949,47.451,48.771,68551241.9275,2022-11-09 00:00:00
48.800,56.598,48.427,55.997,65078913.8707,2022-11-10 00:00:00
55.997,56.674,50.848,53.173,32568756.9326,2022-11-11 00:00:00
53.138,53.138,49.751,50.256,28995252.7078,2022-11-12 00:00:00
50.266,51.158,46.012,47.369,22327903.2171,2022-11-13 00:00:00
47.374,53.000,44.806,52.833,36822455.1056,2022-11-14 00:00:00
52.822,55.250,51.489,53.979,29935435.3178,2022-11-15 00:00:00
53.942,54.708,50.400,52.305,16554226.5152,2022-11-16 00:00:00
52.305,53.892,51.623,53.556,14135802.9987,2022-11-17 00:00:00
53.584,54.261,52.411,53.749,7515340.5323,2022-11-18 00:00:00
53.747,54.350,52.702,53.882,4579910.8035,2022-11-19 00:00:00
53.878,55.643,50.333,50.711,15017777.2989,2022-11-20 00:00:00
50.701,52.313,48.664,51.829,20129298.2060,2022-11-21 00:00:00
51.811,53.352,49.823,52.986,16264204.0365,2022-11-22 00:00:00
53.004,53.900,52.046,53.200,10680685.9299,2022-11-23 00:00:00
53.215,56.100,51.923,55.767,15786850.3152,2022-11-24 00:00:00
55.711,58.100,54.021,56.919,16616089.0974,2022-11-25 00:00:00
56.919,57.762,55.000,55.352,9244726.8152,2022-11-26 00:00:00
55.351,57.100,55.100,55.465,7111556.6686,2022-11-27 00:00:00
55.426,55.700,52.111,54.077,11632148.2306,2022-11-28 00:00:00
54.073,56.110,53.341,55.361,11985711.9900,2022-11-29 00:00:00
55.339,56.961,54.924,56.172,12801305.8776,2022-11-30 00:00:00
56.172,56.274,53.701,53.892,11247529.9129,2022-12-01 00:00:00
53.909,54.128,52.260,53.417,12088807.7804,2022-12-02 00:00:00
53.434,53.549,52.245,52.304,7211597.0422,2022-12-03 00:00:00
52.301,52.912,52.074,52.556,5541642.4083,2022-12-04 00:00:00
52.555,53.749,52.103,53.231,8557365.0099,2022-12-05 00:00:00
53.228,53.798,52.230,53.658,9232796.9243,2022-12-06 00:00:00
53.648,53.829,51.133,52.409,9458812.5270,2022-12-07 00:00:00
52.410,54.100,52.383,53.887,6012301.8945,2022-12-08 00:00:00
